sat_id,x_actual,y_actual,z_actual,x_predicted,y_predicted,z_predicted
1,3006.3786510379887,-9558.08971252326,6707.128428376257,4093.6989999316215,-7623.694466235054,6320.655826605907
1,8621.793125593622,-3100.0197723606407,2784.698738297205,9565.1591924635,2538.3970086138606,-286.8666096608637
1,8583.648657623935,5135.201234029372,-2792.404177206852,8580.896188997904,5677.010480928165,-3099.941387250525
1,3732.200307456453,10986.632661687428,-7137.537965358035,3797.786521120795,11040.322277633837,-7118.102063172471
1,-2311.446634948936,14077.775677847132,-9707.901338228066,-2236.6484974456653,14188.205587636498,-9674.613381037956
1,-8136.628200260136,15366.776394077451,-11040.64171107782,-8140.071124685891,15453.923525298298,-11039.463321388333
1,-13380.604038010342,15500.33835701076,-11544.938789301192,-13174.062735011474,15672.415806446656,-11587.285647587581
1,-17965.89156881349,14853.391060516591,-11468.50496080982,-17907.709605989632,15041.55127694838,-11440.50078114384
1,-21892.06696546875,13654.3649268737,-10965.95959248803,-21769.534957437223,13783.633837293311,-11034.83780516011
1,-25177.93471555314,12052.56005800231,-10139.87324900736,-24801.61079872511,12016.710373318943,-10230.083273274151
1,-27843.95514596898,10152.30057756658,-9062.503015535454,-27740.893414655315,10286.080147553499,-9163.266739796602
1,-29906.630963887183,8031.188101596682,-7787.707100482922,-29811.407627751854,8166.1974800387325,-7902.975427874871
1,-31376.71467273473,5750.591534789051,-6357.905435804139,-31281.69142031764,5898.228461023117,-6500.409019021732
1,-32258.62035100737,3362.197436979377,-4808.468846854859,-32012.348037734664,3708.3993568338374,-4936.472889313267
1,-32550.115916104125,912.5417984635033,-3170.764408997696,-32442.504179894477,1120.1537074122728,-3406.5467165925165
1,-32241.93176510693,-1553.39755058417,-1474.559139569106,-32111.335865397323,-1511.62051074328,-1661.3039486111186
1,-31317.115354798487,-3988.81933354129,249.73772884991783,-31237.70461083736,-3895.3135427710467,186.7745180674065
1,-29750.02707120982,-6341.262594710868,1968.550823963359,-29612.778750436097,-6392.626828575511,1779.7180849617798
1,-27504.91579353011,-8547.463245575222,3641.7591526407896,-27390.80049152845,-8533.389748418484,3512.085941635682
1,-24534.13009345256,-10525.49756890373,5217.501866275598,-23637.10296656752,-10889.928666177504,4920.332743166315
1,-20776.481448393417,-12161.493698319253,6623.281424747996,-20504.075677487013,-12211.195410575681,6588.434058749717
1,-16158.063819648349,-13285.09623518917,7749.231414296888,-15823.471003330054,-13345.552409052998,7611.564296692277
1,-10604.9907420101,-13620.38528605782,8413.764742345284,-10658.860151692474,-13506.537665432243,8085.146648736686
1,-4109.250797122303,-12681.90051259331,8287.717942081808,-3707.6179898552678,-12552.033353869647,8117.732828566202
1,2958.709243056046,-9577.894307320144,6735.91938867905,4244.322627315293,-7225.3073811364675,6290.928595782982
1,8588.411203814623,-3140.910628379362,2806.2492299500395,9602.744739524462,2622.180511110301,-320.69098233863946
1,8562.929918938898,5098.437501482616,-2792.342725148957,8581.574217367404,5678.0251713042935,-3099.860469022788
1,3692.8219812370494,10952.484581351651,-7148.463268354298,3797.786521120795,11040.322277633837,-7118.102063172471
1,-2369.5833378757143,14035.17621661729,-9714.151555728457,-2236.6484974456653,14188.205587636498,-9674.613381037956
1,-8205.509349635933,15313.37600002314,-11035.96687484496,-8140.071124685891,15453.923525298298,-11039.463321388333
1,-13453.80809474283,15437.42229575844,-11527.69911007335,-13151.76842392136,15690.595194098561,-11591.441013565049
1,-18039.0433792327,14783.2319759627,-11438.88753876364,-17907.709605989632,15041.55127694838,-11440.50078114384
1,-21962.256667879632,13579.374554514208,-10924.90673916647,-21803.799513667986,13776.328692521993,-11033.282335003425
1,-25243.25409583626,11975.0313956873,-10088.657147851429,-24801.61079872511,12016.710373318943,-10230.083273274151
1,-27903.19986052271,10074.33834511261,-9002.54561843979,-27740.893414655315,10286.080147553499,-9163.266739796602
1,-29959.11598329764,7954.699946156786,-7720.501000415667,-29807.64674250354,8167.858496395638,-7909.878584173087
1,-31422.16125044805,5677.295328217658,-6284.9786256570105,-31265.06954850339,5920.704048060729,-6520.085135048472
1,-32297.087678825552,3293.6306578139947,-4731.370781816851,-31900.116472192552,3853.9825062879686,-4918.976125975388
1,-32581.96348752893,850.0657298720627,-3091.06215373444,-32442.10245266869,1120.7606596347898,-3407.2416976234276
1,-32267.8045472064,-1608.603147592077,-1393.837893258006,-31964.87876713364,-1670.0395711713481,-1691.723197231226
1,-31337.947590551983,-4035.774825282721,329.8727907191468,-31234.67002710376,-3889.2741245298153,176.75397142322163
1,-29767.06363896007,-6379.22715304228,2046.474556015908,-29608.163817957975,-6383.696574112156,1761.6813099294272
1,-27519.75041139011,-8576.007657490518,3715.834264660879,-27028.324317798368,-8632.425583178923,3526.7546131804365
1,-24548.760757533408,-10544.63153292398,5286.101450914693,-23388.72912314048,-11000.366749815912,4906.206160257116
1,-20793.37335615409,-12171.89679512572,6684.847671075328,-19784.81680894952,-12453.861660898394,7092.626451259771
1,-16180.17580874769,-13288.54999711128,7802.416576411085,-15691.790379020707,-13378.3649249008,7591.64834510071
1,-10635.5803322751,-13620.60528854158,8457.760909793056,-10658.860151692474,-13506.537665432243,8085.146648736686
1,-4150.670601430179,-12686.08912099837,8322.99226571565,-3707.6179898552678,-12552.033353869647,8117.732828566202
1,2910.348968745243,-9598.227468811148,6765.156186020702,4244.322627315293,-7225.3073811364675,6290.928595782982
1,8554.590616513799,-3182.905243018386,2828.741668935522,9621.98686621888,2621.776778569563,-308.60923459868076
1,8542.860228289943,5060.520525595678,-2791.268893381798,8597.643040516245,5698.066966533898,-3132.156335832718
1,3654.4680025205375,10917.644866518409,-7158.66010739425,3802.716273733645,11044.298832551358,-7116.627809205622
1,-2426.689830381702,13992.16757694251,-9719.819085108944,-2236.6484974456653,14188.205587636498,-9674.613381037956
1,-8273.408163748234,15259.731980388831,-11030.7826030097,-8140.071124685891,15453.923525298298,-11039.463321388333
1,-13526.084776855949,15374.371493049932,-11509.99944237123,-13137.062332206438,15702.488353569066,-11594.070182499245
1,-18111.32373304455,14713.01398690988,-11408.851539614709,-17907.709605989632,15041.55127694838,-11440.50078114384
1,-22031.63213040865,13504.37851511083,-10883.47370916944,-21803.799513667986,13776.328692521993,-11033.282335003425
1,-25307.81741101735,11897.53336528358,-10037.09779541181,-24804.431232436975,12023.87827897929,-10235.816182221402
1,-27961.74740379104,9996.429872665609,-8942.280931028894,-27740.893414655315,10286.080147553499,-9163.266739796602
1,-30010.96388518003,7878.277148447667,-7653.0220050446815,-29803.96769140163,8169.591698019646,-7916.91936875948
1,-31467.031375807364,5604.066685090439,-6211.811625888066,-30982.04256095678,6445.654620987837,-6800.62125468819
1,-32335.03970037201,3225.125410791696,-4654.062920211815,-31872.770378558154,3825.2326782290497,-4912.059056953813
1,-32613.35719400072,787.6379067165558,-3011.177495036429,-32442.10245266869,1120.7606596347898,-3407.2416976234276
1,-32293.28491035166,-1663.780009845195,-1312.957947961951,-31711.336101105488,-1973.040616329492,-1629.5355596123911
1,-31358.44859520887,-4082.7264696819457,410.1474691964029,-31234.67002710376,-3889.2741245298153,176.75397142322163
1,-29783.82950889228,-6417.2174904936255,2124.524775054126,-29631.293280735794,-6422.025377032001,1761.256460517853
1,-27534.37467560223,-8604.609786769153,3790.029153136206,-26961.329183905673,-8637.459075660458,3569.9559864654043
1,-24563.24037543846,-10563.8573848487,5354.8233866921255,-23074.24445163502,-11151.065197545555,4902.604888360153
